id,code,nameEn,nameNp,capitalEn,capitalNp,areaKm2,population2021,districtCount
1,NP-P1,Koshi Province,कोशी प्रदेश,Biratnagar,विराटनगर,25905,4961412,14
2,NP-P2,Madhesh Province,मधेश प्रदेश,Janakpur,जनकपुर,9661,6114600,8
3,NP-P3,Bagmati Province,बागमती प्रदेश,Hetauda,हेटौडा,20300,6116866,13
4,NP-P4,Gandaki Province,गण्डकी प्रदेश,Pokhara,पोखरा,21504,2466427,11
5,NP-P5,Lumbini Province,लुम्बिनी प्रदेश,Deukhuri,देउखुरी,22288,5122078,12
6,NP-P6,Karnali Province,कर्णाली प्रदेश,Birendranagar,वीरेन्द्रनगर,27984,1688412,10
7,NP-P7,Sudurpashchim Province,सुदूरपश्चिम प्रदेश,Godawari,गोदावरी,19999.28,2694783,9
